Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      1.80     0.00  1469171     0.00     0.00  std::_Rb_tree<point, std::pair<point const, std::vector<point, std::allocator<point> > >, std::_Select1st<std::pair<point const, std::vector<point, std::allocator<point> > > >, std::less<point>, std::allocator<std::pair<point const, std::vector<point, std::allocator<point> > > > >::key_comp() const
  0.00      1.80     0.00  1329044     0.00     0.00  distancia(point, point)
  0.00      1.80     0.00  1294493     0.00     0.00  std::_Vector_base<point, std::allocator<point> >::_M_deallocate(point*, unsigned int)
  0.00      1.80     0.00  1289453     0.00     0.00  __gnu_cxx::new_allocator<point>::deallocate(point*, unsigned int)
  0.00      1.80     0.00  1289453     0.00     0.00  __gnu_cxx::new_allocator<point>::allocate(unsigned int, void const*)
  0.00      1.80     0.00  1272600     0.00     0.00  std::_Vector_base<point, std::allocator<point> >::_Vector_impl::_Vector_impl(std::allocator<point> const&)
  0.00      1.80     0.00  1272600     0.00     0.00  std::_Vector_base<point, std::allocator<point> >::_Vector_impl::~_Vector_impl()
  0.00      1.80     0.00  1272600     0.00     0.00  void std::_Destroy<point*, point>(point*, point*, std::allocator<point>)
  0.00      1.80     0.00  1267560     0.00     0.00  std::_Vector_base<point, std::allocator<point> >::_M_get_Tp_allocator() const
  0.00      1.80     0.00  1267560     0.00     0.00  std::_Vector_base<point, std::allocator<point> >::_Vector_base(unsigned int, std::allocator<point> const&)
  0.00      1.80     0.00  1267560     0.00     0.00  point* std::uninitialized_copy<__gnu_cxx::__normal_iterator<point const*, std::vector<point, std::allocator<point> > >, point*>(__gnu_cxx::__normal_iterator<point const*, std::vector<point, std::allocator<point> > >, __gnu_cxx::__normal_iterator<point const*, std::vector<point, std::allocator<point> > >, point*)
  0.00      1.80     0.00  1262530     0.00     0.00  __gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > > std::find<__gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > >, point>(__gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > >, __gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > >, point const&)
  0.00      1.80     0.00  1257510     0.00     0.00  bool __gnu_cxx::operator==<point*, std::vector<point, std::allocator<point> > >(__gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > > const&, __gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > > const&)
  0.00      1.80     0.00   968656     0.00     0.00  std::_Rb_tree<point, std::pair<point const, double>, std::_Select1st<std::pair<point const, double> >, std::less<point>, std::allocator<std::pair<point const, double> > >::_S_right(std::_Rb_tree_node_base*)
  0.00      1.80     0.00   921951     0.00     0.00  std::_Rb_tree<point, std::pair<point const, double>, std::_Select1st<std::pair<point const, double> >, std::less<point>, std::allocator<std::pair<point const, double> > >::_S_left(std::_Rb_tree_node_base*)
  0.00      1.80     0.00   412556     0.00     0.00  std::_Rb_tree_iterator<std::pair<point const, double> >::_Rb_tree_iterator(std::_Rb_tree_node<std::pair<point const, double> >*)
  0.00      1.80     0.00   407506     0.00     0.00  std::_Rb_tree_iterator<std::pair<point const, double> >::operator*() const
  0.00      1.80     0.00   211324     0.00     0.00  std::_Rb_tree<point, std::pair<point const, double>, std::_Select1st<std::pair<point const, double> >, std::less<point>, std::allocator<std::pair<point const, double> > >::_M_end()
  0.00      1.80     0.00   203779     0.00     0.00  std::_Rb_tree<point, std::pair<point const, double>, std::_Select1st<std::pair<point const, double> >, std::less<point>, std::allocator<std::pair<point const, double> > >::_M_begin()
  0.00      1.80     0.00   203768     0.00     0.00  std::_Rb_tree_iterator<std::pair<point const, double> >::operator==(std::_Rb_tree_iterator<std::pair<point const, double> > const&) const
  0.00      1.80     0.00   203758     0.00     0.00  std::map<point, double, std::less<point>, std::allocator<std::pair<point const, double> > >::lower_bound(point const&)
  0.00      1.80     0.00   203758     0.00     0.00  std::map<point, double, std::less<point>, std::allocator<std::pair<point const, double> > >::end()
  0.00      1.80     0.00   203758     0.00     0.00  std::_Rb_tree<point, std::pair<point const, double>, std::_Select1st<std::pair<point const, double> >, std::less<point>, std::allocator<std::pair<point const, double> > >::end()
  0.00      1.80     0.00   203748     0.00     0.00  std::map<point, double, std::less<point>, std::allocator<std::pair<point const, double> > >::key_comp() const
  0.00      1.80     0.00   203748     0.00     0.00  std::_Rb_tree<point, std::pair<point const, double>, std::_Select1st<std::pair<point const, double> >, std::less<point>, std::allocator<std::pair<point const, double> > >::key_comp() const
  0.00      1.80     0.00   186303     0.00     0.00  bool __gnu_cxx::operator!=<point*, std::vector<point, std::allocator<point> > >(__gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > > const&, __gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > > const&)
  0.00      1.80     0.00    52954     0.00     0.00  std::vector<point, std::allocator<point> >::push_back(point const&)
  0.00      1.80     0.00    43786     0.00     0.00  __gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > > std::uninitialized_copy<__gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > >, __gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > > >(__gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > >, __gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > >, __gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > >)
  0.00      1.80     0.00    43786     0.00     0.00  __gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > > std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > >, __gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > >, point>(__gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > >, __gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > >, __gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > >, std::allocator<point>)
  0.00      1.80     0.00    43786     0.00     0.00  __gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > > std::__uninitialized_copy_aux<__gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > >, __gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > > >(__gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > >, __gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > >, __gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > >, __false_type)
  0.00      1.80     0.00    40473     0.00     0.00  heapCompare::operator()(point const&, point const&) const
  0.00      1.80     0.00    25296     0.00     0.00  __gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > >::operator-(int const&) const
  0.00      1.80     0.00    21893     0.00     0.00  std::vector<point, std::allocator<point> >::max_size() const
  0.00      1.80     0.00    21893     0.00     0.00  std::vector<point, std::allocator<point> >::_M_insert_aux(__gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > >, point const&)
  0.00      1.80     0.00    21893     0.00     0.00  void std::__destroy_aux<__gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > > >(__gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > >, __gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > >, __false_type)
  0.00      1.80     0.00    21893     0.00     0.00  void std::_Destroy<__gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > > >(__gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > >, __gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > >)
  0.00      1.80     0.00    21893     0.00     0.00  void std::_Destroy<__gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > >, point>(__gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > >, __gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > >, std::allocator<point>)
  0.00      1.80     0.00    12648     0.00     0.00  void std::__push_heap<__gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > >, int, point, heapCompare>(__gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > >, int, int, point, heapCompare)
  0.00      1.80     0.00    12527     0.00     0.00  std::_Rb_tree<point, std::pair<point const, std::vector<point, std::allocator<point> > >, std::_Select1st<std::pair<point const, std::vector<point, std::allocator<point> > > >, std::less<point>, std::allocator<std::pair<point const, std::vector<point, std::allocator<point> > > > >::_S_key(std::_Rb_tree_node_base const*)
  0.00      1.80     0.00    12527     0.00     0.00  std::_Rb_tree<point, std::pair<point const, std::vector<point, std::allocator<point> > >, std::_Select1st<std::pair<point const, std::vector<point, std::allocator<point> > > >, std::less<point>, std::allocator<std::pair<point const, std::vector<point, std::allocator<point> > > > >::_S_value(std::_Rb_tree_node_base const*)
  0.00      1.80     0.00    12516     0.00     0.00  std::_Rb_tree<point, std::pair<point const, double>, std::_Select1st<std::pair<point const, double> >, std::less<point>, std::allocator<std::pair<point const, double> > >::_S_key(std::_Rb_tree_node_base const*)
  0.00      1.80     0.00    12516     0.00     0.00  std::_Rb_tree<point, std::pair<point const, double>, std::_Select1st<std::pair<point const, double> >, std::less<point>, std::allocator<std::pair<point const, double> > >::_S_value(std::_Rb_tree_node_base const*)
  0.00      1.80     0.00    11374     0.00     0.00  point::point(double, double)
  0.00      1.80     0.00    10050     0.00     0.00  __gnu_cxx::new_allocator<std::pair<point const, std::vector<point, std::allocator<point> > > >::new_allocator()
  0.00      1.80     0.00    10050     0.00     0.00  __gnu_cxx::new_allocator<std::pair<point const, std::vector<point, std::allocator<point> > > >::~new_allocator()
  0.00      1.80     0.00    10050     0.00     0.00  std::allocator<std::pair<point const, std::vector<point, std::allocator<point> > > >::~allocator()
  0.00      1.80     0.00    10041     0.00     0.00  __gnu_cxx::new_allocator<std::pair<point const, double> >::new_allocator()
  0.00      1.80     0.00    10041     0.00     0.00  __gnu_cxx::new_allocator<std::pair<point const, double> >::~new_allocator()
  0.00      1.80     0.00    10041     0.00     0.00  std::allocator<std::pair<point const, double> >::~allocator()
  0.00      1.80     0.00    10040     0.00     0.00  std::_Rb_tree<point, std::pair<point const, std::vector<point, std::allocator<point> > >, std::_Select1st<std::pair<point const, std::vector<point, std::allocator<point> > > >, std::less<point>, std::allocator<std::pair<point const, std::vector<point, std::allocator<point> > > > >::get_allocator() const
  0.00      1.80     0.00    10040     0.00     0.00  std::_Rb_tree<point, std::pair<point const, double>, std::_Select1st<std::pair<point const, double> >, std::less<point>, std::allocator<std::pair<point const, double> > >::get_allocator() const
